1,belleydoux,1130
1,bage le chatel,1380
1,sainte olive,1330
1,saint genis sur menthon,1380
1,domsure,1270
1,chavannes sur suran,1250
1,priay,1160
1,peyrieu,1300
1,lalleyriat,1130
1,sergy,1630
1,saint martin du frene,1430
1,saint maurice de beynost,1700
1,servas,1240
1,cuzieu,1300
1,jayat,1340
1,lavours,1350
1,chevroux,1190
1,pollieu,1350
1,beligneux,1360
1,brenaz,1260
1,benonces,1470
1,saint jean le vieux,1640
1,beauregard,1480
1,oyonnax,1100
1,mionnay,1390
1,germagnat,1250
1,coligny,1270
1,simandre sur suran,1250
1,l abergement clemenciat,1400
1,lescheroux,1560
1,ornex,1210
1,dommartin,1380
1,lompnas,1680
1,bettant,1500
1,armix,1510
1,feillens,1570
1,chavornay,1510
1,challex,1630
1,vongnes,1350
1,magnieu,1300
1,groissiat,1810
1,dompierre sur chalaronne,1400
1,montluel,1120
1,le poizat,1130
1,hostiaz,1110
1,montanges,1200
1,sainte julie,1150
1,bey,1290
1,sonthonnax la montagne,1580
1,mezeriat,1660
1,bellignat,1810
1,saint marcel,1390
1,belley,1300
1,corbonod,1420
1,neyron,1700
1,saint paul de varax,1240
1,pressiat,1370
1,chazey bons,1300
1,servignat,1560
1,marlieux,1240
1,andert et condon,1300
1,hautecourt romaneche,1250
1,crottet,1620
1,druillat,1160
1,dompierre sur veyle,1240
1,perouges,1800
1,rignieux le franc,1800
1,giron,1130
1,cerdon,1450
1,cruzilles les mepillat,1290
1,lelex,1410
1,lhopital,1420
1,segny,1170
1,cheignieu la balme,1510
1,saint vulbas,1150
1,echallon,1130
1,le montellier,1800
1,martignat,1810
1,ceyzeriat,1250
1,montcet,1310
1,vonnas,1540
1,buellas,1310
1,saint benigne,1190
1,chevillard,1430
1,bouligneux,1330
1,contrevoz,1300
1,champdor,1110
1,port,1460
1,surjoux,1420
1,champfromier,1410
1,vesines,1570
1,seillonnaz,1470
1,varambon,1160
1,le grand abergement,1260
1,jassans riottier,1480
1,asnieres sur saone,1570
1,condamine,1430
1,lhuis,1680
1,romans,1400
1,pizay,1120
1,certines,1240
1,ruffieu,1260
1,meximieux,1800
1,saint rambert en bugey,1230
1,ambronay,1500
1,cize,1250
1,saint germain sur renon,1240
1,villette sur ain,1320
1,dagneux,1120
1,boissey,1190
1,salavre,1270
1,brion,1460
1,labalme,1450
1,sauverny,1220
1,montceaux,1090
1,brenod,1110
1,miserieux,1600
1,prevessin moens,1280
1,lent,1240
1,marsonnas,1340
1,manziat,1570
1,trevoux,1600
1,bellegarde sur valserine,1200
1,bourg en bresse,1000
1,confort,1200
1,saint denis les bourg,1000
1,massignieu de rives,1300
1,saint etienne sur chalaronne,1140
1,bohas meyriat rignat,1250
1,chevry,1170
1,fareins,1480
1,gorrevod,1190
1,valeins,1140
1,vieu d izenave,1430
1,toussieux,1600
1,arbigny,1190
1,malafretaz,1340
1,samognat,1580
1,cras sur reyssouze,1340
1,messimy sur saone,1480
1,pougny,1550
1,sandrans,1400
1,pont de veyle,1290
1,mijoux,1170
1,saint jean de gonville,1630
1,saint andre le bouchoux,1240
1,chaneins,1990
1,joyeux,1800
1,tramoyes,1390
1,biziat,1290
1,izenave,1430
1,belmont luthezieu,1260
1,arbent,1100
1,sutrieu,1260
1,serrieres de briord,1470
1,aranc,1110
1,chaley,1230
1,curciat dongalon,1560
1,loyettes,1360
1,gex,1170
1,courtes,1560
1,bereziat,1340
1,lapeyrouse,1330
1,apremont,1100
1,villieu loyes mollon,1800
1,leyment,1150
1,etrez,1340
2,gercy,2140
2,villemontoire,2210
2,brancourt le grand,2110
2,licy clignon,2810
2,proisy,2120
2,chambry,2000
2,mont saint jean,2360
2,morgny en thierache,2360
2,mesnil saint laurent,2720
2,annois,2480
2,brunehamel,2360
2,audignicourt,2300
2,montigny sur crecy,2270
2,lor,2190
2,chivres en laonnois,2350
2,saint gobain,2410
2,ugny le gay,2300
2,happencourt,2480
2,prouvais,2190
2,azy sur marne,2400
2,terny sorny,2880
2,droizy,2210
2,pignicourt,2190
2,moussy verneuil,2160
2,aguilcourt,2190
2,montaigu,2820
2,moulins,2160
2,saulchery,2310
2,nanteuil la fosse,2880
2,guignicourt,2190
2,bucy le long,2880
2,longpont,2600
2,montgobert,2600
2,noircourt,2340
2,rozet saint albin,2210
2,chivy les etouvelles,2000
2,chavonne,2370
2,artonges,2330
2,oisy,2450
2,juvigny,2880
2,marchais en brie,2540
2,bouconville vauclair,2860
2,la bouteille,2140
2,ly fontaine,2440
