4.02950;49.21339;Reims - Jacquart      
4.02633;49.27217;Reims - Place Luton      
3.06040;50.65540;Lille - La Madeleine      
2.31646;50.00075;Villers Bocage      
2.38610;48.53715;Ballancourt      
-1.75177;49.38243;Barneville Carteret      
0.11066;48.44381;Alençon - Quakenbruck      
4.86575;45.74524;Lyon - Frères Lumière      
4.69704;44.37556;Pierrelatte      
-0.66869;44.91360;Le Taillan Médoc      
2.73873;48.01566;Châlette sur Loing      
4.10940;49.28489;Witry lès Reims      
2.67213;48.55207;Rubelles      
2.01790;49.05694;Puiseux Pontoise      
2.29117;49.63576;Breteuil sur Noye - Les Hiebles      
1.12002;49.46989;Bois Guillaume - Les Bocquets      
-3.55435;47.87982;Quimperlé      
4.74605;46.10470;Belleville sur Saone      
6.07385;43.14974;La Crau      
-0.86614;46.22720;Ferrières d'Aunis      
2.33624;45.21580;Mauriac      
2.41554;48.85437;Montreuil      
2.44550;49.15600;Lamorlaye      
2.03759;50.37310;Hesdin      
2.47004;49.78548;Moreuil      
1.13802;49.41302;Le Mesnil Esnard      
2.31519;48.78305;Bourg la Reine      
2.35190;49.00701;St Brice sous Foręt      
2.16630;48.57194;Breuillet      
4.68384;45.93908;Anse      
7.00866;43.64080;Valbonne      
1.36693;43.66898;Beauzelle      
2.49907;45.40289;Bort les Orgues      
2.05712;48.75484;Voisins le Bretonneux      
2.79707;48.63685;Guignes      
2.70476;50.64259;Estaires      
0.93733;48.74107;Verneuil sur Avre      
5.82131;46.10594;Bellegarde      
2.13943;48.88131;Croissy sur Seine      
1.64406;50.51631;Etaples      
2.48165;50.56450;Lillers      
1.41024;48.85739;Saussay      
-4.02961;47.99657;Ergue Gaberic      
1.31860;43.68238;Aussonne      
1.28878;43.67788;Mondonville      
3.47178;46.05166;Saint Yorre      
2.25600;48.78720;Clamart      
-2.75812;47.64114;Vannes - Tohannic      
2.78088;49.40776;Venette      
4.75869;45.45726;Condrieu      
5.64276;46.24899;Oyonnax      
5.68422;43.45190;Trets      
1.38069;44.73576;Gourdon      
4.78838;44.81147;La Voulte      
4.55967;43.93868;Remoulins      
5.74422;43.15413;Bandol      
3.93127;43.52872;Palavas      
6.35782;43.13636;Le Lavandou      
1.89422;47.88806;Orléans - Saint Mesmin      
5.80640;43.19580;Le Beausset      
-1.36803;47.25227;Saint Julien de Concelles      
2.65561;48.27268;St Pierre les Nemours      
6.84594;43.63976;Le Tignet      
2.14539;48.93052;Montesson      
3.08165;49.25539;Villers Cotterets      
0.49932;48.06198;Connerré      
0.52676;49.35186;Pont Audemer - Europe      
1.87078;48.96149;Flins sur Seine      
5.60268;47.43768;Gray      
2.06598;47.22300;Vierzon - Les Forges      
6.98222;43.66881;Opio      
0.37298;49.64476;Goderville      
3.02324;48.55753;Nangis      
4.27505;43.69459;Vauvert      
1.19800;48.77200;Nonancourt      
2.34602;48.78374;L'Hay les Roses      
2.11600;48.69010;Gometz la Ville      
-1.11373;46.13442;Aytré      
3.15243;45.81828;Gerzat      
2.82799;48.36790;Ecuelles      
3.23636;50.61532;Baisieux      
5.18994;46.20244;Saint Denis les Bourg      
3.87900;43.60800;Montpellier Croix d'Argent      
-4.50189;48.01692;Plouhinec      
2.13090;50.50918;Fruges      
-0.96488;49.04381;Saint Amand      
5.40282;45.81045;Montalieu - Vercieu      
-1.71434;47.97835;Laille      
5.01200;45.76500;Meyzieu      
5.66200;45.21800;Sassenage      
5.89100;43.92700;La Brillanne      
5.79500;43.72900;Vinon sur Verdon      
-0.87627;45.82994;Pont l'Abbé d'Arnoult      
1.98100;50.87600;Bois en Ardres      
-2.83600;47.73500;Grand Champ      
9.44200;42.55000;Borgo      
4.99840;43.57600;Miramas      
2.09130;48.64175;Limours      
5.34400;45.90200;Lagnieu      
8.77446;41.95212;Mezzavia      
6.98800;43.60520;Mougins - Tournamy      
1.88656;50.86210;Guines      
6.64811;44.38627;Barcelonnette      
1.62762;48.27155;Voves      
7.27060;43.70550;Nice Notre Dame      
3.39500;46.31700;Varennes sur Allier      
-0.57181;43.75974;Saint Sever      
1.57189;48.58769;Pierres      
1.30000;47.58000;Blois Quinière      
5.17500;45.75200;Pont-de-Chéruy      
2.83543;47.33805;Sancerre      
3.88800;43.62600;Montpellier - Justice      
1.48381;46.22651;La Souterraine      
-2.45039;47.66199;Questembert      
4.77650;45.94000;Trévoux      
-0.31300;47.83100;Sablé sur Sarthe      
0.15150;43.06755;Bagnères de Bigorre      
4.07200;46.03900;Roanne      
5.10903;45.63594;Saint Quentin Fallavier      
2.15868;48.42876;Etampes      
4.96900;47.13400;Nuits Saint Georges      
1.18800;44.50500;Prayssac      
1.76095;45.95866;Bourganeuf      
4.39780;44.60600;Aubenas      
-3.01900;47.87500;Baud      
0.08400;49.50800;Sainte-Adresse      
1.83900;47.92100;Ingré      
2.82500;46.47400;Cosne-d'Allier      
0.22300;49.64000;Gonneville-la-Mallet      
2.27677;48.66989;La Ville du Bois      
2.59483;48.49922;Villiers en Bière      
-2.30100;47.52200;Nivillac      
2.44696;48.58422;Villabé      
6.03247;47.25926;Besançon - Chalezeule      
5.90179;45.59314;Chambéry Chamnord      
5.60029;43.18623;La Ciotat      
5.73058;45.15747;Grenoble Echirolles      
-1.61900;49.63800;CHERBOURG      
5.05445;47.35810;Dijon - Toison d'Or      
5.76540;45.20243;Grenoble Meylan      
7.19900;43.72300;Nice Lingostière      
5.10851;47.30925;Quetigny      
7.38157;47.77135;Mulhouse - Illzach      
3.26468;48.19881;Sens - Voulx      
4.36364;48.95522;Châlons en Champagne      
4.70654;49.73837;Charleville Mezières      
-1.62550;43.40530;Saint Jean de Luz      
5.59166;45.36715;Voiron      
4.02816;48.30303;La Chapelle Saint Luc      
3.02958;43.18130;Narbonne      
3.43272;46.13554;Cusset      
-1.46300;43.54100;Tarnos      
-0.48021;43.90151;Mont de Marsan      
-1.04864;43.71171;Dax      
3.62395;49.56485;Laon      
4.07214;49.25834;Reims - Cernay      
2.78699;50.51179;Auchy les Mines      
4.05420;48.28230;St André les Vergers      
3.52876;50.33134;Aulnoy lez Valenciennes      
3.39338;50.32680;Denain      
5.24853;43.46043;Vitrolles      
5.19120;43.39322;Châteauneuf les Martigues      
2.76970;50.41837;Liévin      
2.17228;48.94582;Sartrouville      
2.33500;48.62420;La Croix Blanche      
2.58423;48.85263;Champs sur Marne      
2.65955;50.51340;Béthune Verquigneul      
1.51548;48.44991;Chartres      
2.04748;48.90666;Chambourcy      
4.87610;45.71837;Venissieux      
8.74960;41.93420;Ajaccio      
6.69810;46.18460;Morzine      
4.77900;45.77500;Écully      
0.96742;49.53295;Barentin      
-0.70370;49.28847;Bayeux      
1.18769;48.97813;Evreux      
-0.29662;49.16309;Mondeville      
-1.09008;49.11560;Saint Lo      
3.05162;50.40063;Douai/Flers      
1.09572;49.32811;Tourville la Rivière      
4.75655;45.58690;Givors      
3.99935;49.24734;Reims Tinqueux      
4.74464;44.55662;Montelimar      
6.62974;45.95206;Sallanches      
5.57510;45.53675;Les Abrets      
6.70376;43.44372;Puget Sur Argens      
1.78725;49.27917;Gisors      
3.52700;49.33964;Braine      
4.79683;43.96318;Villeneuve Les Avignon      
-4.01626;47.88714;Fouesnant      
1.59215;49.03703;Freneuse      
3.52731;43.35578;Marseillan      
5.17157;43.49139;Berre L'Etang      
2.92280;47.39000;Cosne Sur Loire      
2.64795;47.68827;Gien      
-2.82328;47.87650;Locminé      
2.42236;49.11322;Luzarches      
2.21339;47.15153;Mehun Sur Yèvre      
4.16590;45.28852;Monistrol Sur Loire      
2.25800;48.16120;Dadonville      
4.03803;46.04064;Riorges      
2.91285;50.39167;Rouvroy      
4.83864;45.05713;Tournon Sur Rhône (Drive Piéton)      
2.39456;49.20893;Villers Sous Saint Leu (Drive Piéton)      
7.24850;43.71125;Nice Pessicart      
-0.46750;44.70000;Beautiran      
0.48310;44.85340;Bergerac Sainte Alvère      
6.47897;48.20003;Epinal      
5.22979;43.49017;Rognac      
