Montesson;MONTESSON;78360;48.928247;2.143541
Montigny Les Cormeilles;MONTIGNY LES CORMEILLES;95370;48.994775;2.198764
Montlucon;MONTLUCON;3106;46.346462;2.601488
Montreuil;MONTREUIL CEDEX;93556;48.85437;2.41554
Moulins;MOULINS;3000;46.539603;3.343533
Mulhouse;ILLZACH CEDEX;68313;47.77225;7.384534
Nantes Beaujoire;NANTES CEDEX 03;44329;47.257927;-1.512812
Nantes Beaulieu;NANTES CEDEX 02;44272;47.20665;-1.53378
Narbonne;NARBONNE CEDEX;11785;43.178748;3.026351
Nevers Marzy;MARZY;58180;46.997799;3.105523
Nice Lingostière;NICE;6200;43.728973;7.189244
Nice Tnl;NICE;6300;43.706715;7.286564
Nimes Ouest;NIMES CEDEX 02;30908;43.818003;4.343004
Nimes Sud;NIMES;30000;43.818431;4.393075
Niort;NIORT CEDEX 9;79026;46.317515;-0.48248
Noisy Le Grand;NOISY LE GRAND;93160;48.838942;2.54443
Ollioules;OLLIOULES;83190;43.1247938;5.87637330000007
Orange;ORANGE CEDEX;84107;44.121139;4.838826
Orléans;ORLEANS;45000;47.90889;1.90548
Ormesson;CHENNEVIERES SUR MARNE;94436;48.794647;2.55467
Paimpol;PAIMPOL;22500;48.771873;-3.03854
Paris -st Marcel;Paris;75013;48.8374868;2.3540264
Paris Auteuil;PARIS (Metro Porte d'Auteuil);75016;48.846584;2.255542
Perpignan;PERPIGNAN;66000;42.702716;2.946041
Plouzané;PLOUZANE;29280;48.373044;-4.586661
Pontault-Combault;PONTAULT COMBAULT CEDEX;77346;48.776112;2.609986
Port De Bouc;PORT DE BOUC;13110;43.412368;5.001487
Portet-Sur-Garonne;PORTET SUR GARONNE CEDEX;31126;43.533924;1.397069
Puget sur Argens;PUGET SUR ARGENS;83480;43.4437163962337;6.7037586561175
Quetigny;QUETIGNY;21800;47.309624;5.104218
Quimper;QUIMPER;29000;47.983077;-4.10767
Rambouillet;RAMBOUILLET;78120;48.6271932356865;1.82805823544313
Reims Cernay;REIMS;51100;49.261172;4.065594
Reims Tinqueux;TINQUEUX;51430;49.254809;3.980038
Rennes Centre Alma;RENNES CEDEX 2;35208;48.083015;-1.681273
Rennes Cesson;CESSON SEVIGNE;35510;48.112746;-1.590673
Rethel;RETHEL;8300;49.521243;4.372608
Riom;RIOM MENETROL;63200;45.876759;3.117596
Romorantin;Romorantin;41200;47.337745;1.748488
Rosny sous Bois;ROSNY SOUS BOIS cedex;93117;48.884267;2.476158
Rungis Belle Epine;THIAIS CEDEX;94531;48.756415;2.370887
Saint Brice sous Forêt;SAINT BRICE SOUS FORET;95350;49.010012;2.349164
Saint Brieuc Langueux;LANGUEUX;22360;48.496147;-2.727676
Saint Denis;SAINT DENIS CEDEX;93207;48.93696;2.35975
Saint Egrève;SAINT EGREVE;38120;45.238915;5.664058
Saint Herblain;SAINT HERBLAIN;44800;47.22177;-1.60516
Saint Jean De Luz;SAINT JEAN DE LUZ;64500;43.404736;-1.626602
Saint Jean De Védas;SAINT JEAN DE VEDAS CEDEX;34434;43.572369;3.84721
Saint Malo;SAINT-MALO;35400;48.623801;-1.994182
Saint Martin Au Laert;SAINT MARTIN AU LAERT;62500;50.754462;2.243052
Saint Pol sur Mer;SAINT POL SUR MER;59430;51.023901;2.335472
Saint Quentin en Yvelines;Montigny-le-Bretonneux;78180;48.784646;2.043219
Saint Renan;ST RENAN;29290;48.427386;-4.612488
Saint-André-les-Vergers;ST ANDRE LES VERGERS;10120;48.283371;4.053848
Saint-Clément-de-Rivière;SAINT CLEMENT DE RIVIERE;34980;43.649609;3.8419
Saint-Lo;Saint-Lo;50000;49.109209;-1.071634
Sainte-Geneviève-des-Bois;SAINTE GENEVIEVE DES BOIS;91702;48.638428;2.334723
Salaise sur Sanne;SALAISE SUR SANNE;38150;45.342191;4.806915
Sallanches;SALLANCHES;74700;45.951901;6.627093
Sannois;SANNOIS CEDEX;95118;48.96614;2.25302
Saran;SARAN;45770;47.960474;1.889452
Sartrouville;SARTROUVILLE;78500;48.945854;2.196521
Segny;SEGNY;1170;46.294272;6.079067
Sens Maillot;SENS;89100;48.186999;3.303333
Sens Voulx;SENS;89100;48.199849;3.265134
Sérignan;SERIGNAN;34410;43.270769;3.282182
Sete Balaruc;BALARUC LE VIEUX;34540;43.462659;3.691918
Sevran;SEVRAN;93270;48.948735;2.527563
Soyaux;SOYAUX;16800;45.635449;0.211188
Stains;STAINS;93240;48.946885;2.38472
Tarnos;TARNOS;40220;43.525883;-1.463144
Thiers;THIERS;63300;45.839022;3.508512
Thionville;THIONVILLE;57127;49.354342;6.141034
Thonon Les Bains Landaz;Thonon Les Bains;74200;46.35996;6.45985
Toulon Grand Var;LA VALETTE DU VAR;83160;43.141219;6.014717
Toulon Mayol;TOULON;83000;43.12025;5.938293
Toulouse Purpan;TOULOUSE CEDEX 3;31076;43.610308;1.393782
Tours - Saint Pierre Des Corps;SAINT PIERRE DES CORPS;37700;47.380441;0.714673
Tourville La Riviere;TOURVILLE LA RIVIERE;76410;49.329991;1.096385
Trans en Provence;TRANS EN PROVENCE;83720;43.509654;6.479001
Troyes;LA CHAPELLE SAINT LUC;10600;48.306747;4.024114
