Contact Bretteville sur Laize;BRETTEVILLE-SUR-LAIZE;14680;48.9290052;4.2085205
Contact Brezolles;Brezolles;28270;48.6901555;1.076458
Contact Briey;BRIEY;54150;49.24468;5.93887
Contact Brignais;BRIGNAIS;69530;45.668241;4.752807
Contact Bruay La Buissière;Bruay-la-Buissière;62700;50.47998;2.546
Contact Bruay la Buissiere Guesde;BRUAY LA BUISSIERE;62700;50.473432;2.555666
Contact Bucey;BUCEY LES GY;70700;47.42259;5.84437
Contact Buchères;BUCHERES;10800;48.236173;4.109117
Contact Bucquoy;BUCQUOY;62116;50.1387995;2.7092639
Contact Buis Les Baronnies;Buis-les-Baronnies;26170;44.2779889;5.27758599999993
Contact Cadours;Cadours;31480;43.728065;1.050024
Contact Caestre;CAESTRE;59190;50.75824;2.602252
Contact Cagny;CAGNY;14630;49.150192;-0.265627
Contact Campagne Les Hesdin;CAMPAGNE LES HESDIN;62870;50.3999;1.87863
Contact Cannes Esterel;CANNES;6150;43.557604;6.969244
Contact Cap Ferret;CAP FERRET;33970;44.6481;-1.24964
Contact Carcans;Carcans;33121;45.080097;-1.033838
Contact Cargèse;Cargèse;20130;42.1178958;8.69033850000005
Contact Cassagnes-Bégonhès;CASSAGNES BEGONHES;12120;44.176306;2.519871
Contact Cassel;Cassel;59670;50.7988382;2.49676069999998
Contact CAUCRIAUVILLE;LE HAVRE;76610;49.510447;0.175229
Contact Caudan;Caudan;56850;47.813505;-3.346778
Contact Caudrot;Caudrot;33490;44.5769618;-0.142916600000035
Contact Cayeux sur Mer;CAYEUX SUR MER;80410;50.18015;1.49318
Contact Cean Demi Lune;CAEN;14000;49.174087;-0.336147
Contact Cenac;CENAC ET SAINT JULIEN;24250;44.802044;1.203327
Contact Cerilly;Cérilly;3350;46.6149568;2.82503959999997
Contact Cesson Sevigne;CESSON SEVIGNE;35510;48.11842;-1.60461
Contact Chabrignac;CHABRIGNAC;19350;45.316637;1.33791
Contact CHALONS EN CHAMPAGNE;CHALONS EN CHAMPAGNE;51000;48.963232;4.372228
Contact Champ Saint Pere;Le Champ st Père;85540;46.50698;-1.34673
Contact Champagne Mouton;Champagne-Mouton;16350;45.989587;0.408422
Contact Champlitte;Champlitte;70600;47.61748;5.511786
Contact Chaponost;Chaponost;69630;45.707947;4.74315
Contact Charleville Saint Julien;CHARLEVILLE MEZIERES;8000;49.7616108;4.708492
Contact Charolles;Charolles;71120;46.4351311;4.2750956
Contact Château porcien;CHÂTEAU PORCIEN;8360;49.5318294;4.2541483
Contact Chatel Guyon;CHATELGUYON;63140;45.919227;3.07289
Contact Choisy Au Bac;Choisy-au-Bac;60750;49.44225;2.882985
Contact Cholet Rambourg;CHOLET;49300;47.067017;-0.884879
Contact Cirey sur Vezouve;CIREY SUR VEZOUVE;54480;48.5787;6.9416
Contact Clairac;CLAIRAC;47320;44.35745;0.38176
Contact Cléguerec;Cléguérec;56480;48.125352;-3.070747
Contact Clermont-l'Hérault;Clermont-l'Hérault;34800;43.631949;3.43331
Contact Clohars Carnoët;Clohars-Carnoët;29360;47.797495;-3.58065
Contact Condat;Condat;15190;45.339789;2.759447
Contact Condette;CONDETTE;62360;50.65428;1.63712
Contact Conty;Conty;80160;49.7385;2.15356
Contact Cormery;CORMERY;37320;47.26809;0.84053
Contact Cossé Le Vivien;Cossé-le-Vivien;53230;47.94572;-0.91287
Contact Couhé Vérac;Couhé;86700;46.298382;0.178428
Contact Coulaines;COULAINES;72190;48.0287286;0.202205100000015
Contact Courchelettes;COURCHELETTES;59552;50.34091;3.06576300000006
Contact Cours La Ville;COURS LA VILLE;69470;46.0988614;4.3209083
Contact Coutances;COUTANCES;50200;49.0499881;-1.44095879999998
Contact Creancey;Créancey;21320;47.245828;4.586424
Contact Crécy en Ponthieu;Crécy-en-Ponthieu;80150;50.311561;1.743819
Contact Crécy sur Serre;Crécy-sur-Serre;2270;49.6890148;3.62142930000005
Contact Crehange;CREHANGE;57690;49.06155;6.57972
Contact Criel sur Mer;CRIEL SUR MER;76910;50.011293;1.3162
Contact Croisilles;Croisilles;62128;50.199321;2.883039
Contact Crozon;CROZON;29160;48.2459402;-4.48963549999996
Contact Cuges Les Pins;CUGES LES PINS;13780;43.2760072;5.7167351
Contact Cuise La Motte;CUISE LA MOTTE;60350;49.403446;3.00818
Contact Custines;CUSTINES;54670;48.79243;6.14421
Contact Dargnies;Dargnies;80570;50.0453758;1.52677870000002
Contact Decazeville;Decazeville;12300;44.5618882;2.24881060000007
Contact Desvres;Desvres;62240;50.6689704;1.83802549999996
Contact Diemoz;DIEMOZ;38790;45.59665;5.093637
Contact Dieulouard;Dieulouard;54380;48.84689;6.07127
Contact Domblans;Domblans;39210;46.762947;5.597531
Contact Doussard;DOUSSARD;74210;45.7743146;6.2203151
Contact Duras;DURAS;47120;44.67646;0.18207
Contact Eckbolsheim;ECKBOLSHEIM;67201;48.5826858;7.68232309999996
Contact Ecourt Saint Quentin;Écourt-Saint-Quentin;62860;50.250331;3.07156499999996
Contact Elne;ELNE;66200;42.605112;2.97831
Contact Embrun;EMBRUN;5200;44.56564;6.49689
Contact Entzheim;ENTZHEIM;67960;48.541561;7.651287
Contact Envermeu;ENVERMEU;76630;49.897145;1.2597714
Contact Epernon;EPERNON;28230;48.604203;1.677216
Contact Erquy;Erquy;22430;48.629862;-2.464471
Contact Escaudain;ESCAUDAIN;59124;50.3344368;3.3440578
Contact Estagel;Estagel;66310;42.772432;2.69957499999998
Contact Etang sur Arroux;ETANG SUR ARROUX;71190;46.86489;4.18969
Contact Evran;EVRAN;22630;48.3775905;-1.9757317
Contact Eymet;Eymet;24500;44.67203;0.407499
Contact Fauquembergues;Fauquembergues;62560;50.5996049;2.09445540000002
Contact Fauville en Caux;FAUVILLE EN CAUX;76640;49.65136;0.59149
Contact Faverney;FAVERNEY;70160;47.76547;6.10099
Contact Fay Aux Loges;FAY AUX LOGES;45450;47.92407;2.13551
Contact Féchain;Féchain;59247;50.26917;3.21345700000006
Contact Fenain;Fenain;59179;50.36541;3.2982
